자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-52006,2024-06-30 23:09:21,424,롯데하이마트 (상암월드컵점),0,2024-06-30 23:20:47,00191,서우빌딩,0,11,1532.59,1997,F,내국인,ST-990,ST-347,일반자전거
SPB-33335,2024-06-30 23:17:53,5317,공릉동 신도1차 아파트 뒤,0,2024-06-30 23:20:48,01608,공릉역 1번 출구 앞,0,2,0.0,1976,\N,내국인,ST-3167,ST-735,일반자전거
SPB-36660,2024-06-30 22:06:44,204,국회의사당역 5번출구 옆,0,2024-06-30 23:20:48,01906,신도림역 1번 출구 앞,0,74,11962.08,1999,\N,내국인,ST-50,ST-664,일반자전거
SPB-56079,2024-06-30 22:56:04,493,홍대입구역 6번출구,0,2024-06-30 23:20:49,00914,새절역 2번출구,0,24,4983.78,1978,,내국인,ST-2152,ST-462,일반자전거
SPB-54254,2024-06-30 22:48:46,623,서울시립대 정문 앞 B,0,2024-06-30 23:20:49,00631,답십리역 1번출구,0,32,2299.64,2006,\N,내국인,ST-391,ST-398,일반자전거
SPB-83862,2024-06-30 23:12:51,4578,보라매sk뷰,99,2024-06-30 23:20:50,03212,신풍역 6번출구,99,7,1320.0,2008,M,내국인,ST-2801,ST-1983,새싹자전거
SPB-62743,2024-06-30 23:12:31,3644,상록수아파트,0,2024-06-30 23:20:51,02403,공무원연금매점 교차로 (개포주공9단지 입구),0,8,995.96,2005,F,내국인,ST-2869,ST-1573,일반자전거
SPB-47930,2024-06-30 23:15:50,1010,강동세무서,0,2024-06-30 23:20:51,03656,둔촌푸르지오아파트,0,5,630.0,2001,M,내국인,ST-494,ST-2747,일반자전거
SPB-39163,2024-06-30 22:41:20,2085,강남중학교 앞,0,2024-06-30 23:20:52,02085,강남중학교 앞,0,39,3972.97,1968,M,내국인,ST-2358,ST-2358,일반자전거
SPB-30623,2024-06-30 23:06:28,1656,중앙하이츠 아파트 입구,0,2024-06-30 23:20:52,02902,공릉풍림아파트 108동,0,14,1095.93,1998,M,내국인,ST-1124,ST-2068,일반자전거
SPB-68624,2024-06-30 23:11:51,3785,마곡14단지 1408동앞,0,2024-06-30 23:20:53,03785,마곡14단지 1408동앞,0,9,890.72,1999,F,내국인,ST-2832,ST-2832,일반자전거
SPB-50468,2024-06-30 23:11:30,474,동대문역사문화공원역 1번출구 뒤편,0,2024-06-30 23:20:53,04798,황학동롯데캐슬,0,9,1426.46,2000,\N,내국인,ST-1780,ST-2903,일반자전거
SPB-45963,2024-06-30 22:03:35,3582,화양동 우체국,0,2024-06-30 23:20:54,00571,세종대학교 대양AI센터,0,77,1860.0,1999,M,내국인,ST-2321,ST-382,일반자전거
